category_id,img,title,sub_title,price,dc,original_price
1,https://img-cf.kurly.com/shop/data/goods/1486027577248l0.jpg,친환경 무 시래기 100g,시래기의 천국 양구에서 수확한 친환경 무 시래기 (100g),3600,,
1,https://img-cf.kurly.com/shop/data/goods/1501821652721l0.jpg,친환경 삼계탕 재료 2종,삼계탕에 빠질 수 없는 재료, 친환경으로 더 건강하게,4784,8.0,5200.0
1,https://img-cf.kurly.com/shop/data/goods/146353688350l0.jpg,친환경 밀싹 150g,건강이 자라는 친환경 밀싹 (1팩 150g),3590,,
1,https://img-cf.kurly.com/shop/data/goods/1578467729747l0.jpg,친환경 표고채 35g,말려서 더 깊어진 표고버섯의 풍미,4220,6.0,4490.0
1,https://img-cf.kurly.com/shop/data/goods/big/201510/517_shop1_235548.jpg,[연꽃마을] 우엉차 50g,마실수록 끌리는 구수한 맛의 우엉차,8900,,
1,https://img-cf.kurly.com/shop/data/goods/1578467861491l0.jpg,친환경 표고칩 40g,앙증맞게 썰어 낸 건표고버섯,4990,,
1,https://img-cf.kurly.com/shop/data/goods/157838377582l0.jpg,친환경 상황버섯 20g,귀한 버섯을 손쉽게 즐기는 법!,7490,,
1,https://img-cf.kurly.com/shop/data/goods/1578383899164l0.jpg,친환경 영지버섯 40g,손쉽게 만나는 만년버섯,6990,,
1,https://img-cf.kurly.com/shop/data/goods/1519725643656l0.jpg,무농약 파프리카 1개,과일보다 더 과일같은 채소 파프리카 (1개),3690,,
1,https://img-cf.kurly.com/shop/data/goods/1623996225704l0.jpg,친환경 햇 양파 350g,남길 걱정 없는 만능 채소,1690,,
1,https://img-cf.kurly.com/shop/data/goods/1623999643376l0.jpg,친환경 브로콜리 1개,풍부한 영양이 담긴 초록 꽃송이,2481,17.0,2990.0
1,https://img-cf.kurly.com/shop/data/goods/1609141385434l0.jpg,친환경 얼갈이 300g,농약 없이 건강하게 길러낸,1990,,
